用户名,时间,内容,点赞量,sentiment,sentiment_class
迪亚波罗IV,2024/1/8 23:08,如果一个国家的最底层贫民，能无任何附加条件地帮助一个中国人，叫声巴铁并不为过；同时，任何一个国家的权贵阶级，与任何人交往，都是带着目的，他们没有什么所谓的信仰。,1,0.999978266,非常积极
hirowl,2024/1/7 22:27,目前我所知道的叙利亚、伊拉克、巴基斯坦都是对我们抱有极大善意的国家,1,0.969001363,非常积极
亦木木木-,2024/1/12 8:58,在英国，我和我同学遇到的所有巴基斯坦人，一听说我们是中国人，都立刻笑起来，说着bro，积极帮助我们,1,0.997319628,非常积极
光影迷梦,2024/1/20 0:58,其实都一样，我们普通人一个月几千一万多点的工资，那些有钱人出去溜达一下一天也会花我们一个月好几个月甚至是更多的工资,1,0.123367993,非常消极
sank-star,2024/1/14 21:32,社会矛盾应该不小吧，希望不要因为对政府的不满转变为对中国的仇恨，普通人太难了,1,0.993089895,非常积极
Dふ也,2024/1/9 1:54,UP结尾那段你是真懂怎么说话啊，你真棒啊，哈哈哈哈。不过我个人还是幻想浪漫一些好。,1,0.999916288,非常积极
浔初Ri,2024/5/11 22:21,很中肯,1,0.787701295,较为积极
雪白的蛋糕,2024/2/7 20:52,中国女的可不容易交往 也就那边的富二代有这实力给彩礼钱 又有房子 又有车的，但话说回来 一个女的真去那生活 习俗完全都不一样 适应期也得有勇气的，总之不容易，，，,1,0.997808335,非常积极
Kylee凯尔,2024/1/9 23:04,之前去弗洛伦萨旅游，在一个景区买可乐，然后商店的小哥看到我是亚洲面孔就问我是哪里的，我说中国，他让我猜他是哪里的，我随口一说Pakistan？他说说是的，我们是好朋友，一段奇妙的经历,0,0.963995718,非常积极
兔里兔气的菜狗,2024/1/7 20:58,很真实的评论，upup,1,0.751429505,较为积极
乌贼鱿鱼没有脊椎,2024/1/13 18:53,一带一路不仅仅是经济层面的,1,0.975136219,非常积极
BAYANSKY,2024/1/11 13:59,成长了，从上次蒙古国被宰，到现在成为老江湖，旅途上的坎坷重塑了每个人的。加油兄弟,1,0.999918665,非常积极
懂亿点滑铲的达,2024/3/3 22:41,这几年看过最有深度的视频。赞,1,0.955337403,非常积极
庸人应劫,2024/1/23 13:55,铁是血换的！没有无缘无故的感情~,1,0.542320078,中立
随性的梵高,2024/1/10 22:01,白沙瓦的不应该叫反对派，应该叫反政府武装,1,0.046872183,非常消极
看電影玩遊戲,2024/2/14 0:57,利益这种东西不用深究，论迹不论心，论心无完人,1,0.920726448,非常积极
千江寂,2024/1/8 0:25,非常好的视频，结论比较公正,1,0.688160492,较为积极
48号萤火虫,2024/3/15 7:58,谢谢你分享的巴铁视频 让我看到了真善美,1,0.991989646,非常积极
锅锅酱集,2024/3/27 17:37,这经历评论很中肯了,1,0.788929111,较为积极
琦羰不琦0,2024/1/8 21:36,希望祖国强大，希望文化交融，希望人民富足，希望世界和平,1,0.999953689,非常积极
施-福卜斯-嚯,2024/3/10 11:29,人要长大到一定程度，长“老”了，才懂得善意的珍贵。,0,0.99123582,非常积极
瑞瑞潇潇,2024/1/14 15:31,留两个币吧，up很棒,0,0.749872902,较为积极
大少年小沧桑,2024/2/7 20:23,巴基斯坦政局混乱我一直都知道，但巴军方与中国始终同心，这点存在，中巴友谊就不会崩,0,0.989527546,非常积极
815小日子寄快递,2024/5/20 0:12,人性啊，不能考验，一考验准失望，论迹不论心吧,0,0.808133579,非常积极
BILI×2,2024/1/22 12:39,感谢up主展示了世界的参差,0,0.991428301,非常积极
番茄king啊,2024/2/4 21:32,这个视频很真诚，给所有真诚做视频的up点赞！,0,0.962689217,非常积极
试试又如何,2024/1/5 20:47,点赞投币了，最初关注UP也是那时候UP主，在白沙瓦街头的视频,1,0.900039938,非常积极
JeanWan,2024/1/29 15:09,比20岁还没去过星巴克有活儿，有深度,0,0.774190691,较为积极
读万里路,2024/2/1 13:47,真诚和利益不矛盾的，大多是真诚的利益。,1,0.854685989,非常积极
pikey2002,2024/1/8 20:48,一个多月不见了，欢迎回归,1,0.692740399,较为积极
邓子子,2024/1/28 17:17,视频做的很好 很客观,0,0.874329072,非常积极
畫欲子,2024/1/19 12:30,@高雨田大魔王- 那，高雷师叔，您也知道我喜欢巴基斯坦特产，但是您去吗？！,1,0.996250419,非常积极
马中秋马导弹马光伏,2024/1/6 21:36,很好，很客观。,1,0.833242583,非常积极
猫宁morning丶,2024/2/4 8:12,讲的真好,0,0.759469848,较为积极
麦田的镰刀,2024/1/27 17:05,互联网确实是连接世界的好东西，全时机普通民众都是一样的，极端分子都是少数。,0,0.996308019,非常积极
蓝帽子委员会CCCP,2024/2/28 21:51,有光明的地方，就会有黑暗 人性本应如此 有酸就会有甜,0,0.99612162,非常积极
fsh怪兽,2024/1/12 12:54,很喜欢这样娓娓道来的视频,1,0.98963122,非常积极
kainimaa,2024/1/22 2:21,即使没去过巴基斯坦，看到这个视频我也不经的挺起了胸膛。,0,0.848186075,非常积极
吃鸡精骨质疏松,2024/2/2 6:43,看完点赞~！世界就是这么真实，人也是这么真实。,0,0.999745101,非常积极
玮仔二八了,2024/1/13 19:23,up很诚恳,0,0.649758424,较为积极
骨傲天手下,2024/1/20 8:03,大家都珍视这段友谊吧,0,0.959357063,非常积极
Y易江南Y,2024/1/10 21:05,你凭什么觉得自己能得到另外一个人无缘无故的纯洁友谊？不管是友谊还是亲情，爱情都是需要经营的，是需要维护的，是需要付出的好吧！前人栽树后人乘凉，你还想只摘果子不去爱惜养护这树？,0,0.999998334,非常积极
JELENAJUSTIN,2024/1/11 16:36,好👍,0,0.631785371,较为积极
李狗李狗泥,2024/1/11 2:02,很好的记录片,0,0.760943873,较为积极
居家学习到几点,2024/1/20 21:51,设备拍的好清楚啊,0,0.492638172,中立
冬天的尽头是春天,2024/1/21 19:57,这一期是以前的大集合啊,0,0.605583247,较为积极
dongdonghit,2024/1/6 3:19,可咋整？怎么越来越好~,0,0.601413306,较为积极
灵若PPQ,2024/1/9 21:28,我去的可能就不会 我社恐,0,0.091515739,非常消极
猫咛Day,2024/5/19 19:07,认识的很深刻了,0,0.90552719,非常积极
fbkmqj,2024/1/10 16:20,希望中国政府能对巴铁更好点,0,0.842905674,非常积极
冰辰r,2024/1/11 17:31,up主这种旅行才是真正的旅行者！,1,0.750974019,较为积极
Enona,2024/5/19 22:58,利益是永远的朋友,0,0.811655045,非常积极
耀眼的日常,2024/1/8 3:51,魔幻，有点难受,0,0.965401305,非常积极
民宣小分队小分队长,2024/1/10 19:24,几年前就看了他的所有视频,1,0.78188443,较为积极
蓝屏本瓶,2024/2/21 20:45,客观！,1,0.458333333,中立
华丽的旅行,2024/1/30 3:09,"走到中东,才知道生在一个强大稳定的国家是多么的幸运,..祖国万岁.",1,0.999459034,非常积极
六零_斯卡雷特,2024/1/8 3:15,视频看完了，中巴友谊万岁~,1,0.984018849,非常积极
渡_Li,2024/1/7 17:20,好真实。,1,0.842910493,非常积极
厉星v,2024/1/31 17:59,为什么这么铁你给我钱，给我援助，我也跟你铁,0,0.434720101,中立
慧慧店长,2024/5/8 17:53,up好帅,0,0.5,中立
千古第一大变态,2024/3/12 11:15,学会了，以后出去玩带摄像机,0,0.780482918,较为积极
隐么,2024/1/8 13:24,利益嘛，不管那个国家都一样,1,0.808830466,非常积极
bili_52259003545,2024/1/7 13:04,都是人，很正常。,1,0.731332211,较为积极
魅族首席型号命名官CNO,2024/1/7 2:07,好久不见，兄弟,1,0.148010889,非常消极
骨傲天手下,2024/1/20 7:48,中国在全世界都在种善因结善果,0,0.965334434,非常积极
奇异的和弦,2024/1/10 13:08,拿的是散弹枪，不是AK47.,1,0.348243502,较为消极
任聪聪Vlog,2024/1/10 21:09,是人都会有目的的，没办法。,1,0.150433685,非常消极
bili_23342440911,2024/3/12 10:00,冷知识:白沙瓦以前是佛教圣地,0,0.952769577,非常积极
凯子BOY,2024/2/23 16:35,我家以前有个伊拉克客户，很多年前送了我们一根象牙，也不知道他怎么带进中国的,0,0.448694771,中立
LynyrdSkynyrd_,2024/1/14 11:34,这还能看到我潮汕特产,1,0.686544945,较为积极
雨神-萧句腾,2024/1/7 14:37,感谢这位特工up,1,0.678254191,较为积极
五菱萌主新洲分萌,2024/1/27 15:17,国与国之间就没有永远的真正的友好,0,0.943669644,非常积极
大温象,2024/1/7 13:58,我还有你的微信up，好久没刷到你的视频了，以前经常看,1,0.735427997,较为积极
Psy_Trance,2024/1/8 21:06,这贫富差距，有种洛斯曼的美感。。。,1,0.796935381,较为积极
我来探探路呢,2024/1/31 21:50,利益为先，别想太多,0,0.086549514,非常消极
根跟根,2024/1/26 15:20,竖 打错了 坚持 我说看半天呢有点奇怪,0,0.086878207,非常消极
苍云,2024/1/29 22:12,巴基斯坦同时是中国和美国的友好国家。,0,0.990627987,非常积极
幻想东方梦,2024/5/14 20:35,每个国家的富人生活都差不多，但是穷人天差地别。,0,0.960907182,非常积极
Mee_nuka,2024/1/27 18:33,唏嘘,0,0.875,非常积极
愚人foool,2024/5/14 5:12,一谈到合作国家，那就是没有朋友只有利益，天天搁这念经呢，连善意都不被允许释放，那不是求着别人变成敌人？合作友善的时候不去维护这个关系，难道要等到关系破裂了再行动？在这种友好的大环境下硬泼冷水降温，我不理解这是一种什么行为,0,0.002952272,非常消极
韩增浦,2024/2/17 19:59,内卷是因为给你卷的机会，给你上升通道，再难也是有的，但是国外基本是没有上升通道这种东西的，财富，地位，甚至知识技能都是世袭的,0,0.989531352,非常积极
LucioHanzo,2024/4/9 20:42,up好帅,0,0.5,中立
情妙淡喜,2024/5/18 20:08,从来不觉得巴基斯坦有多铁，都是利益趋动。本质上，巴和印的国家生态一样，就凭这个，你就能想象这个国家的状态了,0,0.999852082,非常积极
常圣妖,2024/4/7 7:47,如果你想要一个简单的答案，那这个视频就是如看，但如果你带着脑子，这视频还是有参考价值的,0,0.937230674,非常积极
bili_27503239219,2024/2/19 15:30,@点点,0,0.762772117,较为积极
小豆包咪,2024/1/10 21:28,保姆司机护卫管家，全球皆准！~~,1,0.177270762,非常消极
丶逍遥叹丶,2024/2/23 21:29,贫富差距大不是每个国家都有的嘛，有啥好奇的,0,0.959181318,非常积极
额_滴_神_啊,2024/1/9 12:36,六七千哪里请厨师啊，我们这四线小城市，请个主厨都要一万多好多,1,0.374255102,较为消极
埃克225,2024/1/10 2:23,新疆90年代也有那种微型车拉客的！现在没有啦。,0,0.74668104,较为积极
那年e十八,2024/1/6 11:53,关注日打卡,0,0.66672274,较为积极
真英雄不近女色,2024/1/10 8:22,up是做什么的，怎么那么有钱，老是出国探险，我可以跟着混么,1,0.974379678,非常积极
white-dryad,2024/1/29 19:48,豪车这一段我几年前好像看过,0,0.726676669,较为积极
听英语故事催眠,2024/1/8 1:19,刘海有点长呢，兄弟,0,0.894150458,非常积极
小化同学本人,2024/1/7 18:35,29:25:00,0,0.5,中立
Azmsrfan,2024/1/14 18:48,这是玳瑁眼镜吗,0,0.144337461,非常消极
桥头半仙南宫,2024/1/24 0:51,利益，说到底还是利益问题,0,0.580325264,中立
沸腾369,2024/1/21 22:09,机场索要小费，几百块钱，是人民币还是当地卢比？,0,0.057358451,非常消极
holaBzhan,2024/2/6 15:28,卡拉奇那小伙怎么联系啊？,0,0.863053056,非常积极
神之所幸,2024/1/7 21:47,"笔记
为啥喜欢找中国人要小费，因为出去旅游的很多中国人很有钱。最近法媒贴了一篇报道，说这两年中国游客减少了，他们损失了多少多少钱啥的。他们用的单词，dépensière,这个单词就是爱花钱的，奢侈无度的意思，前面还加了个très ，就是very的意思，就是非常爱花钱的。去巴黎老佛爷等地方逛，很多中国人在那边大把大把买奢侈品。我之前去克罗地亚的斯普利特玩，在那边饰品店逛的时候老板知道我是中国人专门拿出他们家珍藏的珊瑚项链给我看，他还有专门的微信群，说是很多中国人从他们家订那些珊瑚饰品，一个几千欧的项链大把中国人买。中国有钱人真的太多了，导致很多老外遇到中国人都想捞点。",35,0.999711071,非常积极
LynyrdSkynyrd_,2024/1/14 12:00,贫富差距真的太大了，在贵州的一个小地方见过雪天凌晨背着还不会走路的小孩出来捡破烂的，也见过当地车牌的劳斯莱斯,4,0.016153265,非常消极
这个昵称还没有人用过才怪,2024/1/9 20:59,"曾经在巴基斯坦工作生活过一段时间。
关于针对中国人的恐怖袭击这些，博主提到了反对派，其实这背后不一定是反对派的锅。

因为国家利益的关系，现总理谢里夫派，和反对派前总理，对华基本政策都是友好。
国内矛盾的话，边境省邦是后加入的，与中央政府的向心力没有南方省邦那么大。
但仅限于国内矛盾，并不会转移到中国人身上。

中国人受袭击的罪魁祸首，是在巴的恐怖组织。
尤其是白沙瓦这种北部山区、靠近阿富汗，反恐难度比较大。
官方的消息是，部分恐怖组织是受境外势力资助（印度相关）。

不管什么原因吧，出门在外还是要注意安全。",695,0.999999996,非常积极
长猫的尾巴,2024/1/27 22:18,"我记得六年前我去的时候，就发生过一起，忘了名字叫什么，是一个村子。一声响，然后我还没反应过来。旁边的一个穿白的帅哥就把我一把拉倒在地，然后拽着我钻到桌子底下。我才反应过来，大概是恐怖袭击。关键是，那帅哥还紧紧地把我压在他身下，真的。后来我差点哭死，他用蹩脚的英语对我说，你是我们的兄弟，不能让你出事。
回国两年后，我也才知道，马哈迪没了。说实话，我难受了好久。但身体状况不再允许我远行，所以每年我都会在祭奠我姥和我父亲的时候，会给他烧点纸，这也是我现在能做到的了。
真的，没想到还能看到这样的一个视频，那些回忆一下子又回来了。真心希望巴基斯坦再无战争，好好发展。也希望那些心存歹念的暴徒尽快死光！",88,0.076836296,非常消极
天--痕,2024/3/29 10:35,"据中国驻巴基斯坦大使馆消息，3月26日下午当地时间1时许，中方企业承建的开普省达苏水电站项目车辆在途中遭遇恐怖袭击，造成5名中方人员、1名巴方人员遇难。
巴还是很危险的",0,0.04513635,非常消极
天依酱是我老婆,2024/1/15 19:40,"中国人的勤劳品德到了up嘴里成了内卷？
麻烦你们不要创造词语！！！
中国人是很勤劳的，他们愿意多多加班这就是他们勤劳的体现，把那些不勤劳的工作摸鱼的同事排挤走，公司能更有效率的。
勤劳加班在你们眼里成了内卷，
在公司愿意多干活也被你们嘲笑内卷，
这个社会已经进入了一种畸形，那些少干活摸鱼的人只会喊着内卷卷死他们了，他们却从来没有沉下心来多做事少说话，那些低头默默工作的勤劳的劳动人民在你们的键盘下成了内卷的典型。
何其可笑！何其悲哀！！！",0,0.999856286,非常积极
UnstoppableDream,2024/1/16 1:25,乐 卷王卷到最后全给老板做贡献了,0,0.974871098,非常积极
猫生叹气,2024/1/26 20:08,为啥你会把内卷2字想的那么坏，内卷对于消费者来说是好事啊,0,0.001411531,非常消极
记忆的片段,2024/1/8 13:24,我认为，巴铁对我们的好，不是因为我们发现的好，不是因为国家厉害，最主要是因为巴基斯坦物质文明的落后，人民特别是底层人民还没被各种物质利益所干扰，在没有其他利益熏心的时候，或是没有利益交换的时候，所对你的好那才是发自内心的真诚。像up所说，看那些顶层人士不也都是带着目的去认识up吗？这就像极了七八十年代的我国，大家贫富差不多，生活差不多，人与人之间就很单纯，对你好都是发自内心。等巴铁经济发达了，有些感情也随之会变的……,532,1,非常积极
悍匪绿皮,2024/1/9 5:23,不，不论是两国之间还是两人之间，是否能长期友好需要在共同的利益基础上能够相互理解、共同经营才行，少了哪个都不行，单一哪方努力都不行，和经济是否发达没有必然关系，富有富的交往方式，穷有穷的交往方式，关键还是要看有没有共同利益、能不能相互理解、有没有共同经营,92,0.999997605,非常积极
鲁滨逊大石,2024/3/13 17:24,回复 @悍匪绿皮 : 说的太赞了，果然评论区有大神！！！,0,0.430213682,中立
镇江造船大专,2024/1/9 2:15,穷山恶水生刁民，这句话是怎么来的？,47,0.513504183,中立
鲨皮芭拉很性感,2024/1/31 13:36,像很多中国建交的小国家其实对国人都很欢迎，去伊朗感受尤其明显，10月份巴以冲突的时候我在自由塔，结果转头进了德黑兰整个城市就升起黑旗了，感觉阿拉伯波斯人是真的不care老美，说干就干，我们另一个团是美籍华人团，他们因为美国护照的原因处处碰壁，但是感觉之所以他们还能进伊朗的最大原因就是他们曾经是中国人，在伊斯法罕能一路被一群人拉着说话有时候过度热情还挺让人害怕的......,0,0.999999632,非常积极
陳勝王,2024/1/30 20:44,"我并不希望“因为自己来自中国所以被优待”
因为我知道不管出生自哪个国家都会有恶人，如果上述条件为真那一定百分之百会有“假借中国人身份去巴基斯坦行蛮横霸道之事的人”
以心换心便好，我善待他人，然后才有资格希望他人善待自己
因为过去国策亲中所以觉得巴铁每个人都是巴铁那就是以偏概全。同样因为现在出了个亲西方政府班子所以觉得他都反中了那同样是以偏概全。
还是那句话二极管要不得",2,0.999999688,非常积极
骑个比名字真难,2024/1/24 23:58,巴铁不是无缘无故来的，其实最主要的是印度，巴铁曾经想依靠美国的，不过美国可能兴趣不大，这事要推远了，其实是英国佬留下的后遗症，藏南也是英国佬的杰作，巴铁这地理位置决定了目前只能依靠中国，没得选，不然根本没法和印度对抗，印度其实有点毛病，总想和中国一争高下，中国人既没有侵略它，也没有殖民过，你说它是不是有毛病，国与国的友谊是建立在利益之上的，巴铁是中国人一厢情愿的说法！,0,0.999999996,非常积极
詹思圆,2024/1/10 15:14,怎么感觉巴基斯坦有点像   诸葛亮治理之后的蜀地一样的描述。，人人感恩戴德，各种发誓维护好这份情感，因为谁谁谁来这里发展了，这里改天换日，从贫民窟变成了城市，那么他们过来接近中国人也是为了有个机会参与到新的发展吧，给你送东西的目的应该是让你宣传吧，，毕竟你走的比较多，比较远，理论上就是免费的广告牌,0,0.999892704,非常积极
雪月蓝沙,2024/1/24 17:44,感觉就像70年代前中期我在外滩看到黄头发蓝眼睛的外国人一样，当年我们收入一个月几十块，中国的物价在他们眼里低的不可思议。但凡你能和一个洋人拉近关系，肯定是有人想要点什么，甚至于有的人嫁给洋垃圾（外国捡垃圾的人）也无所谓。作为一个过来人，祖国的强大，才是如今我们富足有底气的前提。,3,0.999575387,非常积极
只爱我的国,2024/3/10 11:03,枪支泛滥，蚊子贼多，我待的地方离卡拉奇还算近，一年中只有12月和1是凉快的时候，其余的时候都是38度左右，炎热季节最热干到50度，但是当地人不错（当然仅限于男人啦哈哈），女人基本是是不会跟你打招呼的都是躲着走，可能是因为宗教问题吧，还是因为我们吃猪肉不干净？,0,0.990230946,非常积极
虚空-cheems,2024/1/18 20:25,我觉得铁是地缘原因，巴基斯坦旁边挨着印度这个大国而且印巴有冲突。一个小国旁边挨着大国，谁不紧张？想要寻求帮助只能找我们，一来二往，我们出人、出资金、帮助他们基建、巴政府也大力宣传，这不就铁上了吗（仅为推断，若有不恰当地方将删除）,1,0.683849622,较为积极
蓝蔚海天,2024/1/19 21:50,巴基斯坦和沙特是主要合作对象,0,0.790852759,较为积极
西苑五栋218,2024/1/10 21:16,up主也没说这些优待是应该的，他也说了优待中国人的原因，反倒是评论区学了几句永远的利益云云，到哪都刷刷刷，up主好歹是自己去看过感受过的，比弹幕评论不懂多了？我因为工作原因也经常接触巴基斯坦和中东国家的军人，对up记录的有些内容也是深有体会,110,0.999924934,非常积极
下北泽神医,2024/1/10 21:28,官方层面的友好大都是为了利益驱使，但民间也有不少是实打实的感激中国的付出，算是用前辈的牺牲换来的。,29,0.999979699,非常积极
从寒虾,2024/1/8 17:01,"巴基斯坦在中国的宣传很成功！
这个国家对中国有着天然的威胁，一个靠近中国的有核国家，代表西部战略纵深荡然无存，对巴基斯坦，最好能分成几个国家，然后无核化
让一个国家拥核去制衡另一个有核国家，这种策略绝对有问题，看看周边已经多少国家拥核了！",3,1,非常积极
星河河心,2024/1/25 14:41,"但凡懂一点地缘政治和一带一路，你就能知道巴基斯坦的铁不是巴基斯坦说了算，而是中国说了算。
巴基斯坦位于一带一路主干道，是西出中亚的道路正中心，并且和伊朗互射弹道导弹，轰炸了各自境内俾路支，为一带一路清理路途障碍，这根本不是铁不铁的问题。",2,0.993804683,非常积极
阎魔爱awa,2024/1/16 15:45,巴基斯坦现在这么动荡，我印象中不少恐怖分子，比如说那个萨拉菲，如果打内战，他有政权的话，还会跟中国保持友好吗？而且巴基斯坦是多党执政吧之前一直以为巴基斯坦有核，还能跟印度保持对立，经济和军事应该都可以的，没想到内忧外患,0,1,非常积极
toliks9977,2024/2/13 14:52,UP我觉得你不要乱带节奏，巴巴羊就是狗大户沙特的打手，还和土鸡斯坦眉来眼去的。种花家的输出给巴巴羊一些东西，主要是为了战略利益，出于对印度阿三的制衡考虑的。国家间没有什么铁不铁的，都只是为了各自的利益使然，别自嗨乱带节奏。,1,0.998056458,非常积极
麻婆神甫,2024/1/9 16:58,但凡了解一下近50年他们是怎么过的，我们做了什么，都不会对这份友谊感到哪怕一丁点的疑问。现在最大的问题是，他们国内有大量美国和印度养的狗，军阀和极端组织割据，中央对地方的控制力太弱了，无法预防袭击，只能事后不计牺牲的报复。,0,0.999970838,非常积极
花间酒一,2024/2/6 1:49,我的巴基斯坦朋友说选举过后巴基斯坦那边彻底乱了，说是人们写上一个好的领导人上去，是坏的领导人不满意，疯狂谋杀支持他的人 ，他朋友的父亲就被杀害了，他说他那里现在充满了谋杀，叫我不要去巴基斯坦。,0,0.999330517,非常积极
爱吃芝士汉堡的耿鬼,2024/1/9 8:46,就这么说吧 并不铁。以前招兼职有来我们这里大学读书的巴基斯坦学生应聘，本着中巴友好关系选了她，结果一副要不完的样子，做事不认真不说没到结算日就天天问薪水能不能先发。还都把自己当优待人员一样。,4,0.005147512,非常消极
鲁滨逊大石,2024/3/13 16:55,国与国之间交往终究还是要落实到社会阶层上的，只谈国家，那只是宏观层面，与具体的群体是两回事，江苏这边有一句名言：老乡老乡背后一枪。即便是所谓的老乡，那也得看人，将心比心，以诚待人，人人为我，我为人人，你背后给我一枪，当然也要把枪还击，至少也要远离这种人及时止损,1,0.9999985,非常积极
迪亚波罗IV,2024/1/8 23:09,如果巴基斯坦的最底层贫民，能无任何附加条件地帮助一个中国人，叫声巴铁并不为过；同时，任何一个国家的权贵阶级，与任何人交往，都是带着目的性，他们没有什么所谓的信仰，只有利益。,0,0.999940875,非常积极
Nikori鱼蛋,2024/1/7 11:05,我真的很纠结，内心很纠结。每次看到这些地方我都深感祖国一带一路的伟大和困难，或许等我们的目标实现那天，他们也可以获得幸福吧……,3,0.999973845,非常积极
我就呵呵了了了呵呵,2024/1/6 18:07,一切的问题都是宗教的问题！每个人都知道，但都不去挑破，这是最可悲的！局内人不愿被挑破，因为这是他们的信仰；局外人不敢去挑破，因为都知道一神教的疯狂！所以，他们有救么？,3,0.990353924,非常积极
艾瑞尼斯卡,2024/1/10 1:33,我很好奇，派一个警察跟着，其实并没有多大用吧，普通民众不会有危害，真有危害的，一个警察顶用吗？真要绑了你，两三个人，一棍子敲了警察就把人拉走了。,0,0.977686018,非常积极
喀法咖啡,2024/1/31 11:37,在其他国家，跨越阶层几乎不可能，所以那里的人才会不去努力。就像是美国的黑人。然而在中国，跨越阶层要容易许多。所以才会有那么多人想要努力。,2,0.996959291,非常积极
引饮隐,2024/1/16 1:53,说的看似很理性，总体都是阳光的一面，另外找个中国的另一半能提升社会阶层？如果不是说的是巴基斯坦，我会想到缅北那些网红怎么博取国人关注的！,1,0.999941982,非常积极
西郭先森丶,2024/1/26 13:04,大概20年前，我还是小孩的时候，也坐过那种突突车，在国内的小县城。 女人孩子坐在车斗里面，男人扒在车厢外面，要下车了就敲敲驾驶舱的后座。,0,0.895986428,非常积极
Zoezzz19,2024/1/17 12:33,所以咱们就是说在巴基斯坦这么穷困挣扎的国家，一个政府官员的宅邸修的如此富丽堂皇，又堂而皇之的邀请外国媒体去拍摄，真真的是一个匪夷所思。,3,0.987215367,非常积极
蓝蔚海天,2024/1/19 21:51,至少得有个能看的建筑,0,0.577891696,中立
猫生叹气,2024/1/26 20:04,"中国帮助越南, 越南反咬一口那就是白眼狼
中国帮助巴基斯坦, 巴基斯坦群众表现的非常友好就是中国的狗
某些人反正怎么样都能骂起来",2,0.997018793,非常积极
传说中的贺哥哥,2024/1/7 20:32,就单说这个过路不给钱，自己本国人跟其他国家都要给钱这一点，就已经是非常非常非常高的待遇了，这他么还不是优待是什么，客观存在的事实,1,0.018690207,非常消极
jtwmr,2024/3/4 13:10,因为中国人在巴基斯坦出事的概率很高，这是巴基斯坦政府很是辣手的问题，只能在一些混乱的区域由安全人员提供保护，并不是什么缘故。,1,0.634421638,较为积极
西郭先森丶,2024/1/26 13:20,阿富汗的难民，有点难说，因为有一部分是因为当了汗奸，怕被塔利班清算才逃难的，还有一部分是因为害怕塔利班政府逃难的普通民众。,0,0.243776701,较为消极
谁不想当周jie呢,2024/3/12 16:25,【又有国人在“巴铁”出现人身意外！外国媳妇听闻要去买武器自保！-哔哩哔哩】 又有国人在“巴铁”出现人身意外！外国媳妇听闻要去买武器自保！,1,0.999591642,非常积极
樱I狼恋,2024/1/7 18:18,希望有靠谱的中介，介绍巴铁的女生嫁过来，国内男生实在太卷了，结婚都怕被骗彩礼 至于宗教原因，至少本人可以妥协。,0,0.999293285,非常积极
飘过一缕枫,2024/1/10 16:59,去巴铁找媳妇的 还是谨慎吧  本站内也有不少 多搜搜多看看 之前出过很大的事多看看新闻,0,0.707280696,较为积极
李舜死-,2024/1/24 2:53,一群阿三罢了，没有什么铁不铁大家仁智见仁智者见智，有脑子的人自己会去了解不要听信一些一边倒的媒体宣传巴铁很铁铁你吗,3,0.988523446,非常积极
老桑家的地主,2024/1/8 11:36,大使馆都提醒你不要去，然后你还是要去。得亏你没出事儿，出事儿了又得麻烦大使馆吧。所以是一个自私的傻叉,2,0.023944284,非常消极
帅锅歪歪,2024/1/5 22:39,整个南亚都很穷，和非洲半斤八两，只不过人口比非洲密集，人口数量多，综合国力还凑合，普通人生活和非洲差不多,1,0.836302105,非常积极
老K造物社,2024/1/22 15:14,我爱人做外贸  有过一些巴基斯坦客户  做了几次 坚决不做了  整天只会说好朋友好朋友  但很多都是吹牛皮的骗子,0,0.893670091,非常积极
香格里拉蓝香肠,2024/1/22 15:59,当地局势不稳，可能某一天打仗了，人们辛辛苦苦工作攒下来的家当会全部被夺走，人们自然也就不会很卖力的工作赚钱了,0,0.711495413,较为积极
Mr刘先森KT,2024/1/15 13:04,看完UP的视频我深受启发，那么问题来了，要如何才能交到一个巴基斯坦的富二代女朋友呢？,0,0.990612372,非常积极
jijianm,2024/1/5 23:31,你会对一个对你大方 又变相保护你国家的人不好吗？他们得了好处感谢他们的神，坑你也是坑异教徒 不算罪过。,1,0.132118001,非常消极
清洛Rainn,2024/3/10 22:33,小李在巴基斯坦四年了，都只能说，不好说不好说。没我们想的那么好，只要你对他没啥好处了，也就普普通通了。,0,0.019332457,非常消极
馋甜点的奶茶,2024/1/28 18:21,巴基斯坦搞恐袭的组织是在三个国家境内的，伊朗也有，他们想独立建国，在所在地反动，支持者是印美。,0,0.95044539,非常积极
自古紅色三倍速,2024/1/8 15:37,"09:49
全球不都一样吗？意思是，你在中国努力卷了，就能卷成“马X”“马XX”那样的有钱人？",0,0.234031503,较为消极
逍遥大神棍,2024/1/9 15:46,巴基斯坦对中国唯一的好处就是石油，可是我加的汽油8元多，所以巴铁在™的铁也是扯淡。。。。。。,1,0.859961767,非常积极
另一个草薙,2024/1/9 17:08,巴基斯坦 有石油卖给我国吗？我记得  我国进口石油  的前十国家没有巴基斯坦吧,1,0.999715807,非常积极
大少年小沧桑,2024/2/7 20:19,站在美国这边没什么，这点军迷界的多少知道点。你不能强求一个小国硬战队，中立对小国是最好的选择,0,0.933153875,非常积极
就爱鬼畜,2024/1/11 17:59,视频里基本没什么女性露面，巴基斯坦的男女地位差距也跟印度一样吧，毕竟过去这两是一家，男尊女卑,0,0.999178262,非常积极
